card_type,card_language,card_year,card_name,card_set_name,card_number,card_rarity,card_rarity_short,card_detail,set_type,image_url,card_special,info_intern
One Piece Card Game,Japanese,2022,Roronoa Zoro,-ROMANCE DAWN- [OP-01],OP01-001,Leader,L,LEADER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-001.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Roronoa Zoro (Parallel),-ROMANCE DAWN- [OP-01],OP01-001,Leader,L,LEADER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-001_p1.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Trafalgar Law,-ROMANCE DAWN- [OP-01],OP01-002,Leader,L,LEADER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-002.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Trafalgar Law (Parallel),-ROMANCE DAWN- [OP-01],OP01-002,Leader,L,LEADER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-002_p1.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Monkey.D.Luffy,-ROMANCE DAWN- [OP-01],OP01-003,Leader,L,LEADER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-003.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Monkey.D.Luffy (Parallel),-ROMANCE DAWN- [OP-01],OP01-003,Leader,L,LEADER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-003_p1.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Usopp,-ROMANCE DAWN- [OP-01],OP01-004,Rare,R,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-004.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Uta,-ROMANCE DAWN- [OP-01],OP01-005,Rare,R,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-005.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Otama,-ROMANCE DAWN- [OP-01],OP01-006,Uncommon,UC,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-006.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Caribou,-ROMANCE DAWN- [OP-01],OP01-007,Common,C,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-007.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Cavendish,-ROMANCE DAWN- [OP-01],OP01-008,Common,C,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-008.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Carrot,-ROMANCE DAWN- [OP-01],OP01-009,Common,C,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-009.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Komachiyo,-ROMANCE DAWN- [OP-01],OP01-010,Common,C,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-010.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Gordon,-ROMANCE DAWN- [OP-01],OP01-011,Uncommon,UC,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-011.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Sai,-ROMANCE DAWN- [OP-01],OP01-012,Common,C,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-012.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Sanji,-ROMANCE DAWN- [OP-01],OP01-013,Rare,R,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-013.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Sanji (Parallel),-ROMANCE DAWN- [OP-01],OP01-013,Rare,R,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-013_p1.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Jinbe,-ROMANCE DAWN- [OP-01],OP01-014,Uncommon,UC,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-014.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Tony Tony.Chopper,-ROMANCE DAWN- [OP-01],OP01-015,Uncommon,UC,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-015.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Nami,-ROMANCE DAWN- [OP-01],OP01-016,Rare,R,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-016.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Nami (Parallel),-ROMANCE DAWN- [OP-01],OP01-016,Rare,R,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-016_p1.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Nico Robin,-ROMANCE DAWN- [OP-01],OP01-017,Rare,R,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-017.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Hajrudin,-ROMANCE DAWN- [OP-01],OP01-018,Common,C,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-018.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Bartolomeo,-ROMANCE DAWN- [OP-01],OP01-019,Common,C,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-019.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Hyogoro,-ROMANCE DAWN- [OP-01],OP01-020,Common,C,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-020.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Franky,-ROMANCE DAWN- [OP-01],OP01-021,Uncommon,UC,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-021.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Brook,-ROMANCE DAWN- [OP-01],OP01-022,Uncommon,UC,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-022.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Marco,-ROMANCE DAWN- [OP-01],OP01-023,Common,C,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-023.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Monkey.D.Luffy,-ROMANCE DAWN- [OP-01],OP01-024,Super Rare,SR,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-024.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Monkey.D.Luffy (Parallel),-ROMANCE DAWN- [OP-01],OP01-024,Super Rare,SR,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-024_p1.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Roronoa Zoro,-ROMANCE DAWN- [OP-01],OP01-025,Super Rare,SR,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-025.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Roronoa Zoro (Parallel),-ROMANCE DAWN- [OP-01],OP01-025,Super Rare,SR,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-025_p1.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Gum-Gum Fire-Fist Pistol Red Hawk,-ROMANCE DAWN- [OP-01],OP01-026,Rare,R,EVENT,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-026.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Round Table,-ROMANCE DAWN- [OP-01],OP01-027,Common,C,EVENT,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-027.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Green Star Rafflesia,-ROMANCE DAWN- [OP-01],OP01-028,Common,C,EVENT,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-028.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Radical Beam!!,-ROMANCE DAWN- [OP-01],OP01-029,Uncommon,UC,EVENT,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-029.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,In Two Years!! At the Sabaody Archipelago!!,-ROMANCE DAWN- [OP-01],OP01-030,Uncommon,UC,EVENT,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-030.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Kouzuki Oden,-ROMANCE DAWN- [OP-01],OP01-031,Leader,L,LEADER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-031.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Kouzuki Oden (Parallel),-ROMANCE DAWN- [OP-01],OP01-031,Leader,L,LEADER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-031_p1.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Ashura Doji,-ROMANCE DAWN- [OP-01],OP01-032,Uncommon,UC,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-032.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Izo,-ROMANCE DAWN- [OP-01],OP01-033,Uncommon,UC,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-033.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Inuarashi,-ROMANCE DAWN- [OP-01],OP01-034,Common,C,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-034.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Okiku,-ROMANCE DAWN- [OP-01],OP01-035,Rare,R,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-035.png,,-ROMANCE DAWN- [OP-01]
One Piece Card Game,Japanese,2022,Otsuru,-ROMANCE DAWN- [OP-01],OP01-036,Common,C,CHARACTER,[OP-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/OP01-036.png,,-ROMANCE DAWN- [OP-01]
