card_type,card_language,card_year,card_name,card_set_name,card_number,card_rarity,card_rarity_short,card_detail,set_type,image_url,card_special,info_intern
One Piece Card Game,Japanese,2022,Monkey.D.Luffy,STARTER DECK -Straw Hat Crew- [ST-01],ST01-001,Leader,L,LEADER,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-001.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Usopp,STARTER DECK -Straw Hat Crew- [ST-01],ST01-002,Common,C,CHARACTER,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-002.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Karoo,STARTER DECK -Straw Hat Crew- [ST-01],ST01-003,Common,C,CHARACTER,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-003.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Sanji,STARTER DECK -Straw Hat Crew- [ST-01],ST01-004,Common,C,CHARACTER,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-004.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Jinbe,STARTER DECK -Straw Hat Crew- [ST-01],ST01-005,Common,C,CHARACTER,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-005.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Tony Tony.Chopper,STARTER DECK -Straw Hat Crew- [ST-01],ST01-006,Common,C,CHARACTER,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-006.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Nami,STARTER DECK -Straw Hat Crew- [ST-01],ST01-007,Common,C,CHARACTER,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-007.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Nico Robin,STARTER DECK -Straw Hat Crew- [ST-01],ST01-008,Common,C,CHARACTER,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-008.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Nefeltari Vivi,STARTER DECK -Straw Hat Crew- [ST-01],ST01-009,Common,C,CHARACTER,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-009.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Franky,STARTER DECK -Straw Hat Crew- [ST-01],ST01-010,Common,C,CHARACTER,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-010.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Brook,STARTER DECK -Straw Hat Crew- [ST-01],ST01-011,Common,C,CHARACTER,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-011.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Monkey.D.Luffy,STARTER DECK -Straw Hat Crew- [ST-01],ST01-012,Super Rare,SR,CHARACTER,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-012.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Roronoa Zoro,STARTER DECK -Straw Hat Crew- [ST-01],ST01-013,Super Rare,SR,CHARACTER,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-013.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Guard Point,STARTER DECK -Straw Hat Crew- [ST-01],ST01-014,Common,C,EVENT,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-014.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Gum-Gum Jet Pistol,STARTER DECK -Straw Hat Crew- [ST-01],ST01-015,Common,C,EVENT,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-015.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Diable Jambe,STARTER DECK -Straw Hat Crew- [ST-01],ST01-016,Common,C,EVENT,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-016.png,,-Straw Hat Crew- [ST-01]
One Piece Card Game,Japanese,2022,Thousand Sunny,STARTER DECK -Straw Hat Crew- [ST-01],ST01-017,Common,C,STAGE,[ST-01],https://asia-en.onepiece-cardgame.com//images/cardlist/card/ST01-017.png,,-Straw Hat Crew- [ST-01]
